Site_Name,Month,Day,Year,Time,AM_PM,Level,Unit
SS,7,23,2021,6:15,PM,561,mm
SS,7,23,2021,6:20,AM,0,mm
SS,7,23,2021,6:20,PM,545,mm
SS,7,23,2021,6:25,AM,0,mm
SS,7,23,2021,6:25,PM,540,mm
SS,7,23,2021,6:30,AM,4,mm
SS,7,23,2021,6:30,PM,535,mm
SS,7,23,2021,6:35,AM,0,mm
SS,7,23,2021,6:35,PM,513,mm
SS,7,23,2021,6:40,AM,0,mm
SS,7,23,2021,6:40,PM,508,mm
SS,7,23,2021,6:45,AM,4,mm
SS,7,23,2021,6:45,PM,502,mm
SS,7,23,2021,6:50,AM,0,mm
SS,7,23,2021,6:50,PM,488,mm
SS,7,23,2021,6:55,AM,0,mm
SS,7,23,2021,6:55,PM,478,mm
SS,7,23,2021,7:00,AM,4,mm
SS,7,23,2021,7:00,PM,470,mm
SS,7,23,2021,7:05,AM,0,mm
SS,7,23,2021,7:05,PM,460,mm
SS,7,23,2021,7:10,AM,0,mm
SS,7,23,2021,7:10,PM,451,mm
SS,7,23,2021,7:15,AM,3,mm
SS,7,23,2021,7:15,PM,450,mm
SS,7,23,2021,7:20,AM,0,mm
SS,7,23,2021,7:20,PM,432,mm
SS,7,23,2021,7:25,AM,0,mm
SS,7,23,2021,7:25,PM,429,mm
SS,7,23,2021,7:30,AM,4,mm
SS,7,23,2021,7:30,PM,424,mm
SS,7,23,2021,7:35,AM,0,mm
SS,7,23,2021,7:35,PM,412,mm
SS,7,23,2021,7:40,AM,0,mm
SS,7,23,2021,7:40,PM,408,mm
SS,7,23,2021,7:45,AM,4,mm
SS,7,23,2021,7:45,PM,404,mm
SS,7,23,2021,7:50,AM,0,mm
SS,7,23,2021,7:50,PM,395,mm
SS,7,23,2021,7:55,AM,0,mm
SS,7,23,2021,7:55,PM,390,mm
SS,7,23,2021,8:00,AM,4,mm
SS,7,23,2021,8:00,PM,390,mm
SS,7,23,2021,8:05,AM,0,mm
SS,7,23,2021,8:05,PM,378,mm
SS,7,23,2021,8:10,AM,0,mm
SS,7,23,2021,8:10,PM,373,mm
SS,7,23,2021,8:15,AM,3,mm
SS,7,23,2021,8:15,PM,373,mm
SS,7,23,2021,8:20,AM,0,mm
SS,7,23,2021,8:20,PM,362,mm
SS,7,23,2021,8:25,AM,0,mm
SS,7,23,2021,8:25,PM,360,mm
SS,7,23,2021,8:30,AM,4,mm
SS,7,23,2021,8:30,PM,360,mm
SS,7,23,2021,8:35,AM,0,mm
SS,7,23,2021,8:35,PM,349,mm
SS,7,23,2021,8:40,AM,0,mm
SS,7,23,2021,8:40,PM,349,mm
SS,7,23,2021,8:45,AM,4,mm
SS,7,23,2021,8:45,PM,347,mm
SS,7,23,2021,8:50,AM,0,mm
SS,7,23,2021,8:50,PM,339,mm
SS,7,23,2021,8:55,AM,0,mm
SS,7,23,2021,8:55,PM,335,mm
SS,7,23,2021,9:00,AM,4,mm
SS,7,23,2021,9:00,PM,335,mm
SS,7,23,2021,9:05,AM,0,mm
SS,7,23,2021,9:05,PM,327,mm
SS,7,23,2021,9:10,AM,0,mm
SS,7,23,2021,9:10,PM,321,mm
SS,7,23,2021,9:15,AM,4,mm
SS,7,23,2021,9:15,PM,321,mm
SS,7,23,2021,9:20,AM,0,mm
SS,7,23,2021,9:20,PM,314,mm
SS,7,23,2021,9:25,AM,0,mm
SS,7,23,2021,9:25,PM,312,mm
SS,7,23,2021,9:30,AM,4,mm
SS,7,23,2021,9:30,PM,315,mm
SS,7,23,2021,9:35,AM,0,mm
SS,7,23,2021,9:35,PM,309,mm
SS,7,23,2021,9:40,AM,0,mm
SS,7,23,2021,9:40,PM,308,mm
SS,7,23,2021,9:45,AM,3,mm
SS,7,23,2021,9:45,PM,314,mm
SS,7,23,2021,9:50,AM,0,mm
SS,7,23,2021,9:50,PM,307,mm
SS,7,23,2021,9:55,AM,0,mm
SS,7,23,2021,9:55,PM,307,mm
SS,7,23,2021,10:00,AM,3,mm
SS,7,23,2021,10:00,PM,312,mm
SS,7,23,2021,10:05,AM,0,mm
SS,7,23,2021,10:05,PM,303,mm
SS,7,23,2021,10:10,AM,0,mm
SS,7,23,2021,10:10,PM,299,mm
SS,7,23,2021,10:15,AM,3,mm
SS,7,23,2021,10:15,PM,300,mm
SS,7,23,2021,10:20,AM,0,mm
SS,7,23,2021,10:20,PM,291,mm
SS,7,23,2021,10:25,AM,0,mm
SS,7,23,2021,10:25,PM,288,mm
SS,7,23,2021,10:30,AM,4,mm
SS,7,23,2021,10:30,PM,290,mm
SS,7,23,2021,10:35,AM,0,mm
SS,7,23,2021,10:35,PM,279,mm
SS,7,23,2021,10:40,AM,0,mm
SS,7,23,2021,10:40,PM,275,mm
SS,7,23,2021,10:45,AM,3,mm
SS,7,23,2021,10:45,PM,281,mm
SS,7,23,2021,10:50,AM,0,mm
SS,7,23,2021,10:50,PM,273,mm
SS,7,23,2021,10:55,AM,0,mm
SS,7,23,2021,10:55,PM,273,mm
SS,7,23,2021,11:00,AM,4,mm
SS,7,23,2021,11:00,PM,279,mm
SS,7,23,2021,11:05,AM,0,mm
SS,7,23,2021,11:05,PM,272,mm
SS,7,23,2021,11:10,AM,0,mm
SS,7,23,2021,11:10,PM,276,mm
SS,7,23,2021,11:15,AM,4,mm
SS,7,23,2021,11:15,PM,277,mm
SS,7,23,2021,11:20,AM,0,mm
SS,7,23,2021,11:20,PM,265,mm
SS,7,23,2021,11:25,AM,0,mm
SS,7,23,2021,11:25,PM,265,mm
SS,7,23,2021,11:30,AM,4,mm
SS,7,23,2021,11:30,PM,267,mm
SS,7,23,2021,11:35,AM,0,mm
SS,7,23,2021,11:35,PM,256,mm
SS,7,23,2021,11:40,AM,0,mm
SS,7,23,2021,11:40,PM,254,mm
SS,7,23,2021,11:45,AM,4,mm
SS,7,23,2021,11:45,PM,259,mm
SS,7,23,2021,11:50,AM,0,mm
SS,7,23,2021,11:50,PM,251,mm
SS,7,23,2021,11:55,AM,0,mm
SS,7,23,2021,11:55,PM,246,mm
SS,7,23,2021,12:00,AM,3,mm
SS,7,23,2021,12:00,PM,4,mm
SS,7,23,2021,12:05,AM,0,mm
SS,7,23,2021,12:05,PM,0,mm
SS,7,23,2021,12:10,AM,0,mm
SS,7,23,2021,12:10,PM,0,mm
SS,7,23,2021,12:15,AM,3,mm
SS,7,23,2021,12:15,PM,4,mm
SS,7,23,2021,12:20,AM,0,mm
SS,7,23,2021,12:20,PM,0,mm
SS,7,23,2021,12:25,AM,0,mm
SS,7,23,2021,12:25,PM,0,mm
SS,7,23,2021,12:30,AM,3,mm
SS,7,23,2021,12:30,PM,4,mm
SS,7,23,2021,12:35,AM,0,mm
SS,7,23,2021,12:35,PM,0,mm
SS,7,23,2021,12:40,AM,0,mm
SS,7,23,2021,12:40,PM,0,mm
SS,7,23,2021,12:45,AM,4,mm
SS,7,23,2021,12:45,PM,4,mm
SS,7,23,2021,12:50,AM,0,mm
SS,7,23,2021,12:50,PM,0,mm
SS,7,23,2021,12:55,AM,0,mm
SS,7,23,2021,12:55,PM,0,mm
SS,7,24,2021,1:00,AM,230,mm
SS,7,24,2021,1:00,PM,59,mm
SS,7,24,2021,1:05,AM,233,mm
SS,7,24,2021,1:05,PM,51,mm
SS,7,24,2021,1:10,AM,237,mm
SS,7,24,2021,1:10,PM,50,mm
SS,7,24,2021,1:15,AM,234,mm
SS,7,24,2021,1:15,PM,56,mm
SS,7,24,2021,1:20,AM,224,mm
SS,7,24,2021,1:20,PM,50,mm
SS,7,24,2021,1:25,AM,229,mm
SS,7,24,2021,1:25,PM,49,mm
